Bank of Kathmandu Ltd.,BOKL,Commercial Banks
Century Commercial Bank Ltd.,CCBL,Commercial Banks
Citizen Bank International Limited,CZBIL,Commercial Banks
Civil Bank Ltd,CBL,Commercial Banks
Everest Bank Limited,EBL,Commercial Banks
Global IME Bank Limited,GBIME,Commercial Banks
Himalayan Bank Limited,HBL,Commercial Banks
Janata Bank Nepal Ltd.,JBNL,Commercial Banks
Kumari Bank Limited,KBL,Commercial Banks
Laxmi Bank Limited,LBL,Commercial Banks
Machhapuchhre Bank Limited,MBL,Commercial Banks
Mega Bank Nepal Ltd.,MEGA,Commercial Banks
Nabil Bank Limited,NABIL,Commercial Banks
Nepal Bangladesh Bank Limited,NBB,Commercial Banks
Nepal Bank Limited,NBL,Commercial Banks
Nepal Credit And Commercial Bank Limited,NCCB,Commercial Banks
Nepal Investment Bank Limited,NIB,Commercial Banks
Nepal SBI Bank Limited,SBI,Commercial Banks
NIC Asia Bank Ltd.,NICA,Commercial Banks
NMB Bank Limited,NMB,Commercial Banks
Prabhu Bank Limited,PRVU,Commercial Banks
Prime Commercial Bank Ltd.,PCBL,Commercial Banks
Sanima Bank Limited,SANIMA,Commercial Banks
Siddhartha Bank Limited,SBL,Commercial Banks
Standard Chartered Bank Limited,SCB,Commercial Banks
Agriculture Development Bank Limited,ADBL,Commercial Banks
Sunrise Bank Limited,SRBL,Commercial Banks
Best Finance Company Ltd.,BFC,Finance
Capital Merchant Bank & Finance Co. Ltd.,CMB,Finance
Central Finance Co. Ltd.,CFCL,Finance
City Express Finance Co. Limited,CEFL,Finance
Crystal Finance Ltd.,CFL,Finance
Goodwill Finance Co. Ltd.,GFCL,Finance
Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,Finance
Gurkhas Finance Ltd.,GUFL,Finance
Hathway Finance Company Limited,HATH,Finance
Himalayan Finance Limited (Bittiya Sanstha),HFL,Finance
ICFC Finance Limited,ICFC,Finance
Janaki Finance Ltd.,JFL,Finance
Lalitpur Finance Ltd.,LFC,Finance
Manjushree Finance Ltd.,MFIL,Finance
Multipurpose Finance Company Limited,MPFL,Finance
Nepal Finance Ltd.,NFS,Finance
Nepal Share Markets Ltd.,NSM,Finance
Pokhara Finance Ltd.,PFL,Finance
ProgressiveFinance Limited,PROFL,Finance
Reliance Finance Ltd.,RLFL,Finance
Samjhana Finance Co. Ltd.,SFC,Finance
Samriddhi Finance Company Limited,SFCL,Finance
Shree Investment Finance Co. Ltd.,SIFC,Finance
Shrijana Finance (Bittaya Sanstha),SFFIL,Finance
Synergy Finance Ltd.,SYFL,Finance
United Finance Ltd.,UFL,Finance
Chandragiri Hills Limited,CGH,Hotels
Oriental Hotels Limited,OHL,Hotels
Soaltee Hotel Limited,SHL,Hotels
Taragaon Regency Hotel Limited,TRH,Hotels
Yak And Yeti Hotel Limited,YHL,Hotels
Arun Vanaspati Udhyog Limited,AVU,Manufacturing And Processing
Birat Shoe Limited,BSL,Manufacturing And Processing
Bottlers Nepal (Balaju) Limited,BNL,Manufacturing And Processing
Bottlers Nepal (Terai) Limited,BNT,Manufacturing And Processing
Butwal Spinning Mills Limited,BSM,Manufacturing And Processing
Fleur Himalayan Limited,FHL,Manufacturing And Processing
Gorakhkali Rubber Udhyog Limited,GRU,Manufacturing And Processing
Harisiddhi Brick And Tiles Limited,HBT,Manufacturing And Processing
Himalayan Distillery Limited,HDL,Manufacturing And Processing
Jyoti Sinning Mills Limited,JSM,Manufacturing And Processing
Nepal Bitumin And Barrel Udhyog Limited,NBBU,Manufacturing And Processing
Nepal Khadya Udhyog Limited,NKU,Manufacturing And Processing
Nepal Lube Oil Limited,NLO,Manufacturing And Processing
Nepal Vanaspati Ghee Udhyog Limited,NVG,Manufacturing And Processing
Raghupati Jute Mills Limited,RJM,Manufacturing And Processing
SHIVAM CEMENTS LTD,SHIVM,Manufacturing And Processing
Shree Bhrikuti Pulp And Paper Limited,SBPP,Manufacturing And Processing
Shree Ram Sugar Mills Limited,SRS,Manufacturing And Processing
Unilever Nepal Limited,UNL,Manufacturing And Processing
Nepal Doorsanchar Comapany Limited,NTC,Others
Nepal Film Development Company Limited,NFD,Others
Nepal Reinsurance Company Limited,NRIC,Others
Ankhu Khola Jalvidhyut Company Ltd,AKJCL,Hydro Power
Api Power Company Ltd.,API,Hydro Power
Arun Kabeli Power Ltd.,AKPL,Hydro Power
Arun Valley Hydropower Development Co. Ltd.,AHPC,Hydro Power
Barun Hydropower Co. Ltd.,BARUN,Hydro Power
Butwal Power Company Limited,BPCL,Hydro Power
Chhyangdi Hydropower Ltd.,CHL,Hydro Power
Chilime Hydropower Company Limited,CHCL,Hydro Power
Dibyashwori Hydropower Ltd.,DHPL,Hydro Power
Ghalemdi Hydro Limited,GHL,Hydro Power
GreenLife Hydropower Limited,GLH,Hydro Power
Himal Dolakha Hydropower Company Limited,HDHPC,Hydro Power
Himalaya Urja Bikas Company Limited,HURJA,Hydro Power
Himalayan Power Partner Ltd.,HPPL,Hydro Power
Joshi Hydropower Development Company Ltd,JOSHI,Hydro Power
Kalika power Company Ltd,KPCL,Hydro Power
Khanikhola Hydropower Co. Ltd.,KKHC,Hydro Power
Liberty Energy Company Limited,LEC,Hydro Power
Mountain Energy Nepal Limited,MEN,Hydro Power
Mountain Hydro Nepal Limited,MHNL,Hydro Power
National Hydro Power Company Limited,NHPC,Hydro Power
Nepal Hydro Developers Ltd.,NHDL,Hydro Power
Ngadi Group Power Ltd.,NGPL,Hydro Power
Panchakanya Mai Hydropower Ltd,PMHPL,Hydro Power
Panchthar Power Compant Limited,PPCL,Hydro Power
Radhi Bidyut Company Ltd,RADHI,Hydro Power
Rairang Hydropower Development Company Ltd.,RRHP,Hydro Power
RASUWAGADHI HYDROPOWER COMPANY LIMITED,RHPL,Hydro Power
Ridi Hydropower Development Company Ltd.,RHPC,Hydro Power
Ru Ru Jalbidhyut Pariyojana Limited,RURU,Hydro Power
Sanima Mai Hydropower Ltd.,SHPC,Hydro Power
SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL,Hydro Power
Shiva Shree Hydropower Ltd,SSHL,Hydro Power
Singati Hydro Energy Limited,SHEL,Hydro Power
Synergy Power Development Ltd.,SPDL,Hydro Power
Union Hydropower Limited,UNHPL,Hydro Power
United IDI Mardi RB Hydropower Limited.,UMRH,Hydro Power
United Modi Hydropower Ltd.,UMHL,Hydro Power
UNIVERSAL POWER COMPANY LTD,UPCL,Hydro Power
Upper Tamakoshi Hydropower Ltd,UPPER,Hydro Power
Bishal Bazar Company Limited,BBC,Tradings
Nepal Tading Limited,NTL,Tradings
Nepal Welfare Company Limited,NWC,Tradings
Salt Trading Corporation,STC,Tradinga
Ajod Insurance Limited,AIL,Non Life Insurance
